Job Role,Skills,Experience (Years),Education,Certifications,CGPA,Job Fit Score,Type,Source
System Administrator,"Linux, Bash Scripting, Windows Server",4.5,MS in Systems Engineering,Red Hat Certified Engineer,6.53,38.49,credible,Glassdoor
QA Engineer,"JIRA, Bug Tracking, Test Automation",7.5,MS in Software Testing,ISTQB,6.02,41.91,credible,LinkedIn
Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking",5.7,BS in Cybersecurity,CEH,8.92,60.61,credible,Glassdoor
Business Analyst,"Data Analysis, Tableau, Excel",1.9,MBA in Data Analytics,Certified Business Analysis Professional,7.15,36.95,credible,Company Website
Full Stack Developer,"MongoDB, React, Django",0.6,B.Tech in Computer Applications,NA,9.66,38.78,credible,LinkedIn
Backend Developer,"Node.js, Flask, Django",8.8,B.Tech in Software Engineering,NA,8.86,52.88,credible,Glassdoor
Frontend Developer,"React, CSS, Vue.js",5.2,BS in Web Development,NA,7.8,35.4,credible,Company Website
Database Administrator,"Database Optimization, PostgreSQL, SQL",5.4,BS in Database Management,Oracle Certified DBA,9.26,62.58,credible,Indeed
System Administrator,"Networking, Windows Server, Firewall",5.9,BS in IT Administration,Red Hat Certified Engineer,7.35,48.55,credible,Glassdoor
Database Administrator,"MongoDB, MySQL, Database Optimization",6.2,MS in Data Engineering,AWS Database Specialty,6.92,45.86,credible,Glassdoor
Database Administrator,"Database Optimization, MongoDB, PostgreSQL",7.2,BS in Database Management,AWS Database Specialty,7.49,52.92,credible,Indeed
Cloud Engineer,"Azure, DevOps, Terraform",4.0,B.Tech in Computer Science,AWS Solutions Architect,5.39,28.12,credible,Indeed
Cybersecurity Analyst,"Network Security, Ethical Hacking, SIEM",6.6,BS in Cybersecurity,CEH,8.49,59.42,credible,Indeed
Software Engineer,"C++, Data Structures, Algorithms",0.8,B.Tech in Computer Science,NA,5.0,2.0,credible,Indeed
Frontend Developer,"JavaScript, Vue.js, CSS",7.2,MS in UI/UX Design,NA,7.13,35.04,credible,LinkedIn
Embedded Software Engineer,"RTOS, C, Microcontrollers",7.9,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.82,57.31,credible,Company Website
Cloud Engineer,"DevOps, Azure, AWS",8.7,B.Tech in Computer Science,Azure Fundamentals,5.59,41.47,credible,Company Website
Embedded Software Engineer,"Microcontrollers, C++, RTOS",5.7,MS in IoT,ARM Certified Embedded Developer,6.33,39.89,credible,Company Website
Product Manager,"Scrum, Roadmap Planning, User Research",7.1,MBA in Technology Management,Certified Scrum Product Owner,7.43,52.19,credible,Indeed
Cybersecurity Analyst,"Penetration Testing, Ethical Hacking, SIEM",12.6,BS in Cybersecurity,CEH,7.72,68.26,credible,Indeed
Data Scientist,"Deep Learning, Machine Learning, Statistics",0.8,BS in Data Science,TensorFlow Developer,7.59,37.72,credible,Indeed
Business Analyst,"Tableau, Stakeholder Management, SQL",5.3,BBA in Business Analytics,Certified Business Analysis Professional,7.89,51.37,credible,Indeed
Embedded Software Engineer,"Microcontrollers, C++, C",9.3,MS in IoT,ARM Certified Embedded Developer,6.78,52.49,credible,LinkedIn
Cybersecurity Analyst,"SOC, SIEM, Network Security",2.1,BS in Cybersecurity,CEH,8.13,45.29,credible,LinkedIn
Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, SIEM",5.5,MS in Information Security,CompTIA Security+,7.95,52.35,credible,Glassdoor
Software Engineer,"Data Structures, Java, Algorithms",6.3,M.Tech in Computer Science,NA,7.75,37.75,credible,Company Website
Data Scientist,"Machine Learning, Python, Deep Learning",3.5,PhD in Machine Learning,TensorFlow Developer,8.85,54.55,credible,Glassdoor
Full Stack Developer,"Django, Node.js, React",9.3,B.Tech in Computer Applications,NA,5.56,27.73,credible,Indeed
Business Analyst,"Excel, Stakeholder Management, Data Analysis",5.7,BBA in Business Analytics,Certified Business Analysis Professional,8.9,60.45,credible,Company Website
Business Analyst,"SQL, Tableau, Stakeholder Management",0.0,BBA in Business Analytics,Certified Business Analysis Professional,8.53,43.24,credible,Company Website
Frontend Developer,"Angular, CSS, Vue.js",6.0,BS in Web Development,NA,10.0,55.0,credible,Glassdoor
Backend Developer,"GraphQL, Django, Spring Boot",4.9,M.Tech in Software Systems,NA,8.67,41.61,credible,Company Website
QA Engineer,"Bug Tracking, Test Automation, JUnit",2.8,B.Tech in Computer Science,ISTQB,7.49,41.92,credible,Glassdoor
Database Administrator,"PostgreSQL, Database Optimization, MongoDB",5.8,BS in Database Management,AWS Database Specialty,8.08,54.14,credible,Company Website
Product Manager,"Agile, User Research, Scrum",1.4,MBA in Technology Management,Certified Scrum Product Owner,7.11,35.38,credible,Glassdoor
Business Analyst,"Excel, Tableau, Stakeholder Management",9.3,BBA in Business Analytics,Certified Business Analysis Professional,6.86,53.13,credible,Indeed
Frontend Developer,"JavaScript, CSS, Vue.js",10.7,MS in UI/UX Design,NA,6.49,38.67,credible,Indeed
AI/ML Engineer,"Computer Vision, Reinforcement Learning, PyTorch",6.6,MS in Deep Learning,Deep Learning Specialization,9.0,63.5,credible,Glassdoor
Product Manager,"JIRA, Roadmap Planning, Scrum",7.3,MBA in Technology Management,Certified Scrum Product Owner,6.02,41.41,credible,Company Website
Cloud Engineer,"Google Cloud, Terraform, DevOps",5.3,B.Tech in Computer Science,Azure Fundamentals,6.14,37.37,credible,Company Website
Cybersecurity Analyst,"Ethical Hacking, SIEM, Penetration Testing",0.0,MS in Information Security,CISSP,7.79,37.32,credible,Glassdoor
Database Administrator,"Database Optimization, MySQL, MongoDB",6.1,MS in Data Engineering,AWS Database Specialty,6.41,41.53,credible,LinkedIn
Frontend Developer,"React, CSS, Vue.js",7.9,MS in UI/UX Design,NA,6.81,34.23,credible,Glassdoor
QA Engineer,"Selenium, JUnit, Bug Tracking",6.6,MS in Software Testing,Certified Selenium Tester,5.93,38.94,credible,Company Website
AI/ML Engineer,"TensorFlow, PyTorch, NLP",0.0,MS in Deep Learning,Deep Learning Specialization,8.3,41.4,credible,Indeed
Full Stack Developer,"Express, MongoDB, Django",1.0,MS in Full Stack Development,NA,5.26,4.58,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, Network Security",3.4,BS in Cybersecurity,CompTIA Security+,6.98,39.34,credible,LinkedIn
Database Administrator,"SQL, MongoDB, Database Optimization",9.3,MS in Data Engineering,Oracle Certified DBA,8.33,64.89,credible,Glassdoor
Product Manager,"Agile, Scrum, Roadmap Planning",7.9,BBA in Product Management,Certified Scrum Product Owner,7.19,52.27,credible,LinkedIn
Backend Developer,"Spring Boot, Flask, GraphQL",3.4,B.Tech in Software Engineering,NA,8.29,34.82,credible,Indeed
Product Manager,"Agile, Roadmap Planning, Scrum",2.9,BBA in Product Management,Certified Scrum Product Owner,7.64,43.37,credible,Glassdoor
Frontend Developer,"Vue.js, React, JavaScript",8.8,BS in Web Development,NA,7.27,40.16,credible,Indeed
DevOps Engineer,"Terraform, Kubernetes, Docker",8.2,B.Tech in Information Technology,AWS Certified DevOps Engineer,8.77,65.66,credible,LinkedIn
Full Stack Developer,"MongoDB, Django, Node.js",8.5,B.Tech in Computer Applications,NA,5.0,21.25,credible,Indeed
AI/ML Engineer,"TensorFlow, NLP, PyTorch",3.0,PhD in AI,Google Professional ML Engineer,6.35,33.3,credible,Indeed
Cybersecurity Analyst,"Network Security, SOC, SIEM",5.5,MS in Information Security,CompTIA Security+,6.8,43.15,credible,Indeed
DevOps Engineer,"AWS, CI/CD, Docker",6.6,MS in Cloud Computing,Docker Certified Associate,7.64,52.62,credible,Glassdoor
Cybersecurity Analyst,"Network Security, SOC, Ethical Hacking",5.3,BS in Cybersecurity,CISSP,6.36,39.13,credible,Indeed
Frontend Developer,"CSS, Vue.js, JavaScript",8.1,BS in Web Development,NA,10.0,60.25,credible,Company Website
DevOps Engineer,"Docker, Terraform, AWS",5.6,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.83,43.64,credible,LinkedIn
Cloud Engineer,"Google Cloud, DevOps, AWS",3.3,MS in Cloud Computing,Azure Fundamentals,7.97,47.01,credible,Glassdoor
Data Scientist,"Python, Deep Learning, R",8.7,BS in Data Science,AWS Machine Learning,8.21,62.43,credible,Glassdoor
Embedded Software Engineer,"RTOS, IoT, Microcontrollers",14.3,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.55,79.15,credible,LinkedIn
Data Scientist,"Python, R, Statistics",7.3,PhD in Machine Learning,AWS Machine Learning,5.33,35.89,credible,LinkedIn
Cloud Engineer,"Azure, DevOps, AWS",7.8,MS in Cloud Computing,Azure Fundamentals,8.24,60.42,credible,Glassdoor
DevOps Engineer,"Terraform, Docker, Kubernetes",5.4,B.Tech in Information Technology,AWS Certified DevOps Engineer,9.07,61.06,credible,Company Website
Cloud Engineer,"Terraform, DevOps, Google Cloud",7.5,MS in Cloud Computing,AWS Solutions Architect,8.81,64.23,credible,Glassdoor
Software Engineer,"Data Structures, Java, Python",0.6,M.Tech in Computer Science,NA,10.0,41.5,credible,Indeed
Cybersecurity Analyst,"SIEM, Network Security, Penetration Testing",11.8,MS in Information Security,CEH,7.26,62.58,credible,Company Website
Embedded Software Engineer,"C++, RTOS, Microcontrollers",9.1,MS in IoT,ARM Certified Embedded Developer,8.08,62.39,credible,Company Website
Backend Developer,"Flask, Node.js, Django",7.0,M.Tech in Software Systems,NA,7.34,36.22,credible,Indeed
Product Manager,"Scrum, User Research, Agile",6.9,BBA in Product Management,Certified Scrum Product Owner,8.03,56.49,credible,Indeed
QA Engineer,"Selenium, JUnit, Bug Tracking",3.2,B.Tech in Computer Science,Certified Selenium Tester,6.7,36.6,credible,LinkedIn
Backend Developer,"Flask, GraphQL, Django",0.0,B.Tech in Software Engineering,NA,5.2,1.6,credible,Indeed
Full Stack Developer,"Express, Node.js, Django",7.0,MS in Full Stack Development,NA,5.48,21.34,credible,LinkedIn
Full Stack Developer,"React, Django, Express",1.2,B.Tech in Computer Applications,NA,9.51,39.08,credible,Glassdoor
Embedded Software Engineer,"C, C++, RTOS",7.4,MS in IoT,ARM Certified Embedded Developer,7.63,54.54,credible,Company Website
Embedded Software Engineer,"IoT, C, RTOS",0.5,MS in IoT,ARM Certified Embedded Developer,6.32,26.81,credible,Indeed
System Administrator,"Linux, Windows Server, Networking",4.0,MS in Systems Engineering,Red Hat Certified Engineer,7.95,48.6,credible,Glassdoor
Data Scientist,"R, Machine Learning, Statistics",5.7,PhD in Machine Learning,AWS Machine Learning,6.66,42.53,credible,Company Website
QA Engineer,"JUnit, JIRA, Test Automation",4.8,MS in Software Testing,ISTQB,8.49,54.92,credible,Indeed
Product Manager,"Agile, Roadmap Planning, Scrum",6.0,MBA in Technology Management,Certified Scrum Product Owner,8.81,60.48,credible,Company Website
Full Stack Developer,"React, Express, MongoDB",7.6,MS in Full Stack Development,NA,5.73,24.84,credible,LinkedIn
Backend Developer,"Django, Spring Boot, Node.js",0.0,B.Tech in Software Engineering,NA,6.01,8.08,credible,LinkedIn
Full Stack Developer,"Node.js, Django, MongoDB",2.1,B.Tech in Computer Applications,NA,7.89,28.37,credible,Glassdoor
Frontend Developer,"Angular, JavaScript, React",6.0,BS in Web Development,NA,9.0,47.0,credible,Indeed
Cloud Engineer,"Google Cloud, DevOps, Azure",6.5,B.Tech in Computer Science,Azure Fundamentals,10.0,71.25,credible,Indeed
Cloud Engineer,"Azure, Terraform, AWS",8.2,MS in Cloud Computing,Azure Fundamentals,9.11,68.38,credible,Indeed
Embedded Software Engineer,"RTOS, IoT, C",3.2,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.91,46.28,credible,Glassdoor
Cloud Engineer,"AWS, DevOps, Terraform",6.0,B.Tech in Computer Science,AWS Solutions Architect,7.95,53.6,credible,LinkedIn
Data Scientist,"R, Python, Statistics",1.7,BS in Data Science,TensorFlow Developer,9.43,54.69,credible,Company Website
Backend Developer,"Node.js, Spring Boot, Django",7.8,M.Tech in Software Systems,NA,5.2,21.1,credible,Company Website
Data Scientist,"Deep Learning, Statistics, Machine Learning",1.5,MS in Artificial Intelligence,TensorFlow Developer,8.66,48.03,credible,Company Website
Software Engineer,"Algorithms, Python, Data Structures",3.0,M.Tech in Computer Science,NA,6.24,17.42,credible,LinkedIn
DevOps Engineer,"Docker, CI/CD, AWS",3.5,MS in Cloud Computing,Docker Certified Associate,8.07,48.31,credible,LinkedIn
Cybersecurity Analyst,"Penetration Testing, Network Security, Ethical Hacking",1.8,MS in Information Security,CISSP,7.83,42.14,credible,Indeed
AI/ML Engineer,"Reinforcement Learning, PyTorch, NLP",6.6,PhD in AI,Google Professional ML Engineer,5.27,33.66,credible,Company Website
System Administrator,"Bash Scripting, Windows Server, Firewall",0.8,MS in Systems Engineering,Microsoft Certified Solutions Expert,8.51,45.08,credible,Company Website
Product Manager,"User Research, Scrum, JIRA",7.1,MBA in Technology Management,Certified Scrum Product Owner,7.44,52.27,credible,Glassdoor
Cybersecurity Analyst,"SOC, SIEM, Penetration Testing",7.4,BS in Cybersecurity,CEH,6.25,43.5,credible,Glassdoor
Software Engineer,"Data Structures, Python, C++",7.2,M.Tech in Computer Science,NA,7.8,40.4,credible,LinkedIn
Full Stack Developer,"Express, MongoDB, Node.js",2.5,B.Tech in Computer Applications,NA,6.74,20.17,credible,Glassdoor
Business Analyst,"Tableau, SQL, Excel",1.5,MBA in Data Analytics,Certified Business Analysis Professional,7.53,38.99,credible,Glassdoor
Software Engineer,"C++, Java, Python",0.0,M.Tech in Computer Science,NA,8.19,25.52,credible,LinkedIn
Cybersecurity Analyst,"SOC, Penetration Testing, Network Security",7.0,MS in Information Security,CompTIA Security+,6.61,45.38,credible,Indeed
AI/ML Engineer,"Reinforcement Learning, PyTorch, NLP",3.4,BS in AI & ML,Deep Learning Specialization,6.26,33.58,credible,LinkedIn
Embedded Software Engineer,"C, Microcontrollers, IoT",3.5,MS in IoT,ARM Certified Embedded Developer,7.78,45.99,credible,Glassdoor
Full Stack Developer,"Express, MongoDB, Node.js",3.6,B.Tech in Computer Applications,NA,8.92,40.36,credible,Glassdoor
DevOps Engineer,"Docker, CI/CD, Terraform",4.8,B.Tech in Information Technology,Docker Certified Associate,8.38,54.04,credible,Glassdoor
Backend Developer,"Node.js, Django, Spring Boot",0.0,M.Tech in Software Systems,NA,7.21,17.68,credible,Company Website
Database Administrator,"Database Optimization, MongoDB, PostgreSQL",2.0,MS in Data Engineering,Oracle Certified DBA,7.69,41.52,credible,Company Website
Frontend Developer,"Vue.js, React, Angular",3.6,BS in Web Development,NA,6.86,23.88,credible,LinkedIn
DevOps Engineer,"Kubernetes, Docker, Terraform",6.7,B.Tech in Information Technology,Docker Certified Associate,8.08,56.39,credible,Company Website
Backend Developer,"Spring Boot, Django, GraphQL",2.4,B.Tech in Software Engineering,NA,7.38,25.04,credible,LinkedIn
Product Manager,"JIRA, Roadmap Planning, User Research",7.0,MBA in Technology Management,Certified Scrum Product Owner,6.86,47.38,credible,LinkedIn
Data Scientist,"Deep Learning, Python, Machine Learning",0.0,MS in Artificial Intelligence,AWS Machine Learning,8.13,40.04,credible,LinkedIn
Database Administrator,"MongoDB, Database Optimization, MySQL",1.8,BS in Database Management,Oracle Certified DBA,8.27,45.66,credible,Company Website
QA Engineer,"JIRA, Selenium, Bug Tracking",4.5,B.Tech in Computer Science,Certified Selenium Tester,9.56,62.73,credible,Company Website
Frontend Developer,"Vue.js, React, CSS",3.1,BS in Web Development,NA,7.09,24.47,credible,LinkedIn
Data Scientist,"Python, R, Deep Learning",8.7,BS in Data Science,TensorFlow Developer,9.41,72.03,credible,Company Website
Database Administrator,"MySQL, Database Optimization, MongoDB",1.4,BS in Database Management,AWS Database Specialty,9.61,55.38,credible,Indeed
DevOps Engineer,"Kubernetes, CI/CD, Terraform",10.2,MS in Cloud Computing,AWS Certified DevOps Engineer,7.64,61.62,credible,Glassdoor
Data Scientist,"Machine Learning, Statistics, Deep Learning",4.4,BS in Data Science,AWS Machine Learning,6.8,40.4,credible,Company Website
Cloud Engineer,"AWS, Google Cloud, Azure",4.0,B.Tech in Computer Science,Azure Fundamentals,7.86,47.88,credible,Company Website
Product Manager,"Scrum, Roadmap Planning, User Research",4.2,BBA in Product Management,Certified Scrum Product Owner,6.41,36.78,credible,Company Website
Full Stack Developer,"React, MongoDB, Django",4.5,B.Tech in Computer Applications,NA,6.96,26.93,credible,Glassdoor
Full Stack Developer,"MongoDB, Django, Express",2.6,B.Tech in Computer Applications,NA,7.4,25.7,credible,Company Website
System Administrator,"Windows Server, Linux, Firewall",7.2,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.79,55.32,credible,LinkedIn
Cloud Engineer,"Terraform, Google Cloud, AWS",8.3,B.Tech in Computer Science,Azure Fundamentals,5.0,35.75,credible,Glassdoor
Product Manager,"User Research, Agile, JIRA",2.0,MBA in Technology Management,Certified Scrum Product Owner,7.55,40.4,credible,LinkedIn
Data Scientist,"Statistics, Machine Learning, Deep Learning",9.3,PhD in Machine Learning,TensorFlow Developer,7.17,55.61,credible,Company Website
Software Engineer,"C++, Algorithms, Java",0.0,BS in Software Engineering,NA,6.48,11.84,credible,Company Website
Embedded Software Engineer,"RTOS, C, Microcontrollers",4.7,MS in IoT,ARM Certified Embedded Developer,7.52,46.91,credible,LinkedIn
Software Engineer,"Java, Algorithms, Data Structures",6.4,B.Tech in Computer Science,NA,8.4,43.2,credible,Glassdoor
Software Engineer,"Python, Data Structures, C++",2.6,M.Tech in Computer Science,NA,8.03,30.74,credible,Indeed
Cybersecurity Analyst,"Network Security, Penetration Testing, SOC",7.5,BS in Cybersecurity,CEH,6.93,49.19,credible,LinkedIn
Embedded Software Engineer,"RTOS, C, IoT",2.4,MS in IoT,ARM Certified Embedded Developer,7.84,43.72,credible,Glassdoor
DevOps Engineer,"Docker, AWS, Terraform",1.9,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.82,34.31,credible,Glassdoor
Cybersecurity Analyst,"SOC, Network Security, Ethical Hacking",2.2,MS in Information Security,CISSP,8.43,47.94,credible,Glassdoor
AI/ML Engineer,"Reinforcement Learning, NLP, TensorFlow",6.2,BS in AI & ML,Google Professional ML Engineer,7.09,47.22,credible,Company Website
Cloud Engineer,"Azure, Terraform, DevOps",8.4,B.Tech in Computer Science,Azure Fundamentals,7.73,57.84,credible,Glassdoor
QA Engineer,"JUnit, Bug Tracking, JIRA",7.2,MS in Software Testing,ISTQB,9.59,69.72,credible,Indeed
Database Administrator,"SQL, MySQL, MongoDB",10.4,MS in Data Engineering,Oracle Certified DBA,8.71,70.68,credible,LinkedIn
