Job Role,Skills,Experience (Years),Education,Certifications,CGPA,Job Fit Score,Type,Source
Business Analyst,"Excel, Stakeholder Management, SQL",7.9,BBA in Business Analytics,Certified Business Analysis Professional,9.16,18.64,credible,Company Website
Database Administrator,"MongoDB, MySQL, Database Optimization",5.2,MS in Data Engineering,AWS Database Specialty,7.31,12.01,credible,Indeed
Software Engineer,"C++, Python, Algorithms",3.6,B.Tech in Computer Science,NA,7.74,9.66,credible,Indeed
Product Manager,"Agile, Scrum, User Research",3.4,BBA in Product Management,Certified Scrum Product Owner,7.97,13.27,credible,Indeed
Database Administrator,"MongoDB, SQL, PostgreSQL",6.0,MS in Data Engineering,Oracle Certified DBA,8.39,15.57,credible,LinkedIn
Data Scientist,"Statistics, Python, Machine Learning",4.5,PhD in Machine Learning,TensorFlow Developer,7.93,13.59,credible,Indeed
Backend Developer,"GraphQL, Spring Boot, Node.js",5.8,M.Tech in Software Systems,NA,5.89,4.99,credible,Company Website
Software Engineer,"Python, Algorithms, C++",4.3,M.Tech in Computer Science,NA,5.89,4.39,credible,Indeed
Product Manager,"Roadmap Planning, Scrum, User Research",3.4,BBA in Product Management,Certified Scrum Product Owner,7.02,10.42,credible,LinkedIn
Software Engineer,"Java, Python, Algorithms",0.7,BS in Software Engineering,NA,7.65,8.23,credible,Glassdoor
Embedded Software Engineer,"C, Microcontrollers, IoT",7.8,MS in IoT,ARM Certified Embedded Developer,6.96,12.0,credible,Indeed
Embedded Software Engineer,"C++, C, RTOS",4.8,MS in IoT,ARM Certified Embedded Developer,10.0,19.92,credible,LinkedIn
Embedded Software Engineer,"IoT, RTOS, C++",4.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.54,12.42,credible,Indeed
Embedded Software Engineer,"RTOS, C, Microcontrollers",2.5,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.88,15.64,credible,Glassdoor
Database Administrator,"SQL, Database Optimization, PostgreSQL",3.2,MS in Data Engineering,AWS Database Specialty,6.78,9.62,credible,LinkedIn
QA Engineer,"Bug Tracking, JUnit, JIRA",1.7,B.Tech in Computer Science,Certified Selenium Tester,5.81,6.11,credible,Company Website
Business Analyst,"Excel, Data Analysis, Stakeholder Management",7.3,MBA in Data Analytics,Certified Business Analysis Professional,6.75,11.17,credible,LinkedIn
Product Manager,"Scrum, Agile, User Research",1.4,BBA in Product Management,Certified Scrum Product Owner,7.45,10.91,credible,Company Website
Backend Developer,"Node.js, Django, Flask",1.7,B.Tech in Software Engineering,NA,8.06,9.86,credible,Glassdoor
Product Manager,"Roadmap Planning, Scrum, JIRA",5.5,MBA in Technology Management,Certified Scrum Product Owner,9.32,18.16,credible,Company Website
Cloud Engineer,"Terraform, Azure, AWS",4.7,MS in Cloud Computing,Azure Fundamentals,9.51,18.41,credible,Company Website
Frontend Developer,"Vue.js, Angular, CSS",9.4,BS in Web Development,NA,8.02,12.82,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, SIEM, Penetration Testing",0.5,BS in Cybersecurity,CEH,7.06,9.38,credible,Glassdoor
Data Scientist,"Machine Learning, Deep Learning, R",8.9,MS in Artificial Intelligence,AWS Machine Learning,8.37,16.67,credible,Indeed
DevOps Engineer,"Docker, AWS, CI/CD",0.0,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.96,8.88,credible,Company Website
Cloud Engineer,"DevOps, Terraform, AWS",1.1,B.Tech in Computer Science,Azure Fundamentals,10.0,18.44,credible,LinkedIn
Frontend Developer,"CSS, JavaScript, Vue.js",1.8,BS in Web Development,NA,9.64,14.64,credible,Indeed
System Administrator,"Windows Server, Firewall, Linux",11.3,MS in Systems Engineering,Red Hat Certified Engineer,6.22,11.18,credible,LinkedIn
Embedded Software Engineer,"IoT, C++, RTOS",11.4,MS in IoT,ARM Certified Embedded Developer,6.62,12.42,credible,Indeed
Software Engineer,"Algorithms, C++, Data Structures",6.8,B.Tech in Computer Science,NA,7.1,9.02,credible,Indeed
Backend Developer,"Django, Flask, Node.js",9.1,B.Tech in Software Engineering,NA,6.81,9.07,credible,Glassdoor
QA Engineer,"JIRA, Test Automation, Selenium",10.4,MS in Software Testing,ISTQB,6.78,12.5,credible,LinkedIn
Cloud Engineer,"Google Cloud, DevOps, Azure",5.7,MS in Cloud Computing,Azure Fundamentals,7.83,13.77,credible,LinkedIn
Cybersecurity Analyst,"SIEM, Penetration Testing, SOC",6.0,BS in Cybersecurity,CEH,7.03,11.49,credible,Glassdoor
Embedded Software Engineer,"RTOS, Microcontrollers, IoT",6.6,MS in IoT,ARM Certified Embedded Developer,6.42,9.9,credible,Glassdoor
Frontend Developer,"Angular, CSS, JavaScript",10.4,MS in UI/UX Design,NA,7.02,10.22,credible,LinkedIn
Frontend Developer,"JavaScript, CSS, Angular",1.0,MS in UI/UX Design,NA,6.9,6.1,credible,LinkedIn
Embedded Software Engineer,"C++, IoT, C",4.0,B.Tech in Embedded Systems,ARM Certified Embedded Developer,9.43,17.89,credible,Glassdoor
System Administrator,"Bash Scripting, Windows Server, Firewall",4.4,MS in Systems Engineering,Red Hat Certified Engineer,10.0,19.76,credible,Company Website
Database Administrator,"MySQL, MongoDB, PostgreSQL",10.5,MS in Data Engineering,Oracle Certified DBA,7.79,15.57,credible,Company Website
Product Manager,"Scrum, Roadmap Planning, JIRA",4.4,MBA in Technology Management,Certified Scrum Product Owner,7.76,13.04,credible,LinkedIn
Backend Developer,"Django, GraphQL, Flask",8.6,B.Tech in Software Engineering,NA,6.86,9.02,credible,LinkedIn
Product Manager,"Agile, Roadmap Planning, JIRA",9.3,MBA in Technology Management,Certified Scrum Product Owner,7.95,15.57,credible,Company Website
Cybersecurity Analyst,"Penetration Testing, Ethical Hacking, SIEM",4.8,BS in Cybersecurity,CompTIA Security+,9.17,17.43,credible,Company Website
Product Manager,"Roadmap Planning, Scrum, User Research",1.9,BBA in Product Management,Certified Scrum Product Owner,8.07,12.97,credible,Glassdoor
Product Manager,"Scrum, JIRA, User Research",3.3,BBA in Product Management,Certified Scrum Product Owner,7.38,11.46,credible,Company Website
Database Administrator,"Database Optimization, PostgreSQL, MySQL",0.0,MS in Data Engineering,Oracle Certified DBA,8.45,13.35,credible,Company Website
System Administrator,"Linux, Networking, Firewall",7.6,BS in IT Administration,Red Hat Certified Engineer,9.62,19.9,credible,Company Website
System Administrator,"Linux, Bash Scripting, Windows Server",4.5,MS in Systems Engineering,Red Hat Certified Engineer,6.53,9.39,credible,Glassdoor
QA Engineer,"JIRA, Bug Tracking, Test Automation",7.5,MS in Software Testing,ISTQB,6.02,9.06,credible,LinkedIn
Cybersecurity Analyst,"Network Security, SIEM, Ethical Hacking",5.7,BS in Cybersecurity,CEH,8.92,17.04,credible,Glassdoor
Business Analyst,"Data Analysis, Tableau, Excel",1.9,MBA in Data Analytics,Certified Business Analysis Professional,7.15,10.21,credible,Company Website
Full Stack Developer,"MongoDB, React, Django",0.6,B.Tech in Computer Applications,NA,9.66,14.22,credible,LinkedIn
Backend Developer,"Node.js, Flask, Django",8.8,B.Tech in Software Engineering,NA,8.86,15.1,credible,Glassdoor
Frontend Developer,"React, CSS, Vue.js",5.2,BS in Web Development,NA,7.8,10.48,credible,Company Website
Database Administrator,"Database Optimization, PostgreSQL, SQL",5.4,BS in Database Management,Oracle Certified DBA,9.26,17.94,credible,Indeed
System Administrator,"Networking, Windows Server, Firewall",5.9,BS in IT Administration,Red Hat Certified Engineer,7.35,12.41,credible,Glassdoor
Database Administrator,"MongoDB, MySQL, Database Optimization",6.2,MS in Data Engineering,AWS Database Specialty,6.92,11.24,credible,Glassdoor
Database Administrator,"Database Optimization, MongoDB, PostgreSQL",7.2,BS in Database Management,AWS Database Specialty,7.49,13.35,credible,Indeed
Cloud Engineer,"Azure, DevOps, Terraform",4.0,B.Tech in Computer Science,AWS Solutions Architect,5.39,5.77,credible,Indeed
Cybersecurity Analyst,"Network Security, Ethical Hacking, SIEM",6.6,BS in Cybersecurity,CEH,8.49,16.11,credible,Indeed
Software Engineer,"C++, Data Structures, Algorithms",0.8,B.Tech in Computer Science,NA,5.0,0.32,credible,Indeed
Frontend Developer,"JavaScript, Vue.js, CSS",7.2,MS in UI/UX Design,NA,7.13,9.27,credible,LinkedIn
Embedded Software Engineer,"RTOS, C, Microcontrollers",7.9,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.82,14.62,credible,Company Website
Cloud Engineer,"DevOps, Azure, AWS",8.7,B.Tech in Computer Science,Azure Fundamentals,5.59,8.25,credible,Company Website
Embedded Software Engineer,"Microcontrollers, C++, RTOS",5.7,MS in IoT,ARM Certified Embedded Developer,6.33,9.27,credible,Company Website
Product Manager,"Scrum, Roadmap Planning, User Research",7.1,MBA in Technology Management,Certified Scrum Product Owner,7.43,13.13,credible,Indeed
Cybersecurity Analyst,"Penetration Testing, Ethical Hacking, SIEM",12.6,BS in Cybersecurity,CEH,7.72,16.2,credible,Indeed
Data Scientist,"Deep Learning, Machine Learning, Statistics",0.8,BS in Data Science,TensorFlow Developer,7.59,11.09,credible,Indeed
Business Analyst,"Tableau, Stakeholder Management, SQL",5.3,BBA in Business Analytics,Certified Business Analysis Professional,7.89,13.79,credible,Indeed
Embedded Software Engineer,"Microcontrollers, C++, C",9.3,MS in IoT,ARM Certified Embedded Developer,6.78,12.06,credible,LinkedIn
Cybersecurity Analyst,"SOC, SIEM, Network Security",2.1,BS in Cybersecurity,CEH,8.13,13.23,credible,LinkedIn
Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, SIEM",5.5,MS in Information Security,CompTIA Security+,7.95,14.05,credible,Glassdoor
Software Engineer,"Data Structures, Java, Algorithms",6.3,M.Tech in Computer Science,NA,7.75,10.77,credible,Company Website
Data Scientist,"Machine Learning, Python, Deep Learning",3.5,PhD in Machine Learning,TensorFlow Developer,8.85,15.95,credible,Glassdoor
Full Stack Developer,"Django, Node.js, React",9.3,B.Tech in Computer Applications,NA,5.56,5.4,credible,Indeed
Business Analyst,"Excel, Stakeholder Management, Data Analysis",5.7,BBA in Business Analytics,Certified Business Analysis Professional,8.9,16.98,credible,Company Website
Business Analyst,"SQL, Tableau, Stakeholder Management",0.0,BBA in Business Analytics,Certified Business Analysis Professional,8.53,13.59,credible,Company Website
Frontend Developer,"Angular, CSS, Vue.js",6.0,BS in Web Development,NA,10.0,17.4,credible,Glassdoor
Backend Developer,"GraphQL, Django, Spring Boot",4.9,M.Tech in Software Systems,NA,8.67,12.97,credible,Company Website
QA Engineer,"Bug Tracking, Test Automation, JUnit",2.8,B.Tech in Computer Science,ISTQB,7.49,11.59,credible,Glassdoor
Database Administrator,"PostgreSQL, Database Optimization, MongoDB",5.8,BS in Database Management,AWS Database Specialty,8.08,14.56,credible,Company Website
Product Manager,"Agile, User Research, Scrum",1.4,MBA in Technology Management,Certified Scrum Product Owner,7.11,9.89,credible,Glassdoor
Business Analyst,"Excel, Tableau, Stakeholder Management",9.3,BBA in Business Analytics,Certified Business Analysis Professional,6.86,12.3,credible,Indeed
Frontend Developer,"JavaScript, CSS, Vue.js",10.7,MS in UI/UX Design,NA,6.49,8.75,credible,Indeed
AI/ML Engineer,"Computer Vision, Reinforcement Learning, PyTorch",6.6,MS in Deep Learning,Deep Learning Specialization,9.0,17.64,credible,Glassdoor
Product Manager,"JIRA, Roadmap Planning, Scrum",7.3,MBA in Technology Management,Certified Scrum Product Owner,6.02,8.98,credible,Company Website
Cloud Engineer,"Google Cloud, Terraform, DevOps",5.3,B.Tech in Computer Science,Azure Fundamentals,6.14,8.54,credible,Company Website
Cybersecurity Analyst,"Ethical Hacking, SIEM, Penetration Testing",0.0,MS in Information Security,CISSP,7.79,11.37,credible,Glassdoor
Database Administrator,"Database Optimization, MySQL, MongoDB",6.1,MS in Data Engineering,AWS Database Specialty,6.41,9.67,credible,LinkedIn
Frontend Developer,"React, CSS, Vue.js",7.9,MS in UI/UX Design,NA,6.81,8.59,credible,Glassdoor
QA Engineer,"Selenium, JUnit, Bug Tracking",6.6,MS in Software Testing,Certified Selenium Tester,5.93,8.43,credible,Company Website
AI/ML Engineer,"TensorFlow, PyTorch, NLP",0.0,MS in Deep Learning,Deep Learning Specialization,8.3,12.9,credible,Indeed
Full Stack Developer,"Express, MongoDB, Django",1.0,MS in Full Stack Development,NA,5.26,1.18,credible,Indeed
Cybersecurity Analyst,"Ethical Hacking, Penetration Testing, Network Security",3.4,BS in Cybersecurity,CompTIA Security+,6.98,10.3,credible,LinkedIn
Database Administrator,"SQL, MongoDB, Database Optimization",9.3,MS in Data Engineering,Oracle Certified DBA,8.33,16.71,credible,Glassdoor
Product Manager,"Agile, Scrum, Roadmap Planning",7.9,BBA in Product Management,Certified Scrum Product Owner,7.19,12.73,credible,LinkedIn
Backend Developer,"Spring Boot, Flask, GraphQL",3.4,B.Tech in Software Engineering,NA,8.29,11.23,credible,Indeed
Product Manager,"Agile, Roadmap Planning, Scrum",2.9,BBA in Product Management,Certified Scrum Product Owner,7.64,12.08,credible,Glassdoor
Frontend Developer,"Vue.js, React, JavaScript",8.8,BS in Web Development,NA,7.27,10.33,credible,Indeed
DevOps Engineer,"Terraform, Kubernetes, Docker",8.2,B.Tech in Information Technology,AWS Certified DevOps Engineer,8.77,17.59,credible,LinkedIn
Full Stack Developer,"MongoDB, Django, Node.js",8.5,B.Tech in Computer Applications,NA,5.0,3.4,credible,Indeed
AI/ML Engineer,"TensorFlow, NLP, PyTorch",3.0,PhD in AI,Google Professional ML Engineer,6.35,8.25,credible,Indeed
Cybersecurity Analyst,"Network Security, SOC, SIEM",5.5,MS in Information Security,CompTIA Security+,6.8,10.6,credible,Indeed
DevOps Engineer,"AWS, CI/CD, Docker",6.6,MS in Cloud Computing,Docker Certified Associate,7.64,13.56,credible,Glassdoor
Cybersecurity Analyst,"Network Security, SOC, Ethical Hacking",5.3,BS in Cybersecurity,CISSP,6.36,9.2,credible,Indeed
Frontend Developer,"CSS, Vue.js, JavaScript",8.1,BS in Web Development,NA,10.0,18.24,credible,Company Website
DevOps Engineer,"Docker, Terraform, AWS",5.6,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.83,10.73,credible,LinkedIn
Cloud Engineer,"Google Cloud, DevOps, AWS",3.3,MS in Cloud Computing,Azure Fundamentals,7.97,13.23,credible,Glassdoor
Data Scientist,"Python, Deep Learning, R",8.7,BS in Data Science,AWS Machine Learning,8.21,16.11,credible,Glassdoor
Embedded Software Engineer,"RTOS, IoT, Microcontrollers",14.3,B.Tech in Embedded Systems,ARM Certified Embedded Developer,8.55,19.37,credible,LinkedIn
Data Scientist,"Python, R, Statistics",7.3,PhD in Machine Learning,AWS Machine Learning,5.33,6.91,credible,LinkedIn
Cloud Engineer,"Azure, DevOps, AWS",7.8,MS in Cloud Computing,Azure Fundamentals,8.24,15.84,credible,Glassdoor
DevOps Engineer,"Terraform, Docker, Kubernetes",5.4,B.Tech in Information Technology,AWS Certified DevOps Engineer,9.07,17.37,credible,Company Website
Cloud Engineer,"Terraform, DevOps, Google Cloud",7.5,MS in Cloud Computing,AWS Solutions Architect,8.81,17.43,credible,Glassdoor
Software Engineer,"Data Structures, Java, Python",0.6,M.Tech in Computer Science,NA,10.0,15.24,credible,Indeed
Cybersecurity Analyst,"SIEM, Network Security, Penetration Testing",11.8,MS in Information Security,CEH,7.26,14.5,credible,Company Website
Embedded Software Engineer,"C++, RTOS, Microcontrollers",9.1,MS in IoT,ARM Certified Embedded Developer,8.08,15.88,credible,Company Website
Backend Developer,"Flask, Node.js, Django",7.0,M.Tech in Software Systems,NA,7.34,9.82,credible,Indeed
Product Manager,"Scrum, User Research, Agile",6.9,BBA in Product Management,Certified Scrum Product Owner,8.03,14.85,credible,Indeed
QA Engineer,"Selenium, JUnit, Bug Tracking",3.2,B.Tech in Computer Science,Certified Selenium Tester,6.7,9.38,credible,LinkedIn
Backend Developer,"Flask, GraphQL, Django",0.0,B.Tech in Software Engineering,NA,5.2,0.6,credible,Indeed
Full Stack Developer,"Express, Node.js, Django",7.0,MS in Full Stack Development,NA,5.48,4.24,credible,LinkedIn
Full Stack Developer,"React, Django, Express",1.2,B.Tech in Computer Applications,NA,9.51,14.01,credible,Glassdoor
Embedded Software Engineer,"C, C++, RTOS",7.4,MS in IoT,ARM Certified Embedded Developer,7.63,13.85,credible,Company Website
Embedded Software Engineer,"IoT, C, RTOS",0.5,MS in IoT,ARM Certified Embedded Developer,6.32,7.16,credible,Indeed
System Administrator,"Linux, Windows Server, Networking",4.0,MS in Systems Engineering,Red Hat Certified Engineer,7.95,13.45,credible,Glassdoor
Data Scientist,"R, Machine Learning, Statistics",5.7,PhD in Machine Learning,AWS Machine Learning,6.66,10.26,credible,Company Website
QA Engineer,"JUnit, JIRA, Test Automation",4.8,MS in Software Testing,ISTQB,8.49,15.39,credible,Indeed
Product Manager,"Agile, Roadmap Planning, Scrum",6.0,MBA in Technology Management,Certified Scrum Product Owner,8.81,16.83,credible,Company Website
Full Stack Developer,"React, Express, MongoDB",7.6,MS in Full Stack Development,NA,5.73,5.23,credible,LinkedIn
Backend Developer,"Django, Spring Boot, Node.js",0.0,B.Tech in Software Engineering,NA,6.01,3.03,credible,LinkedIn
Full Stack Developer,"Node.js, Django, MongoDB",2.1,B.Tech in Computer Applications,NA,7.89,9.51,credible,Glassdoor
Frontend Developer,"Angular, JavaScript, React",6.0,BS in Web Development,NA,9.0,14.4,credible,Indeed
Cloud Engineer,"Google Cloud, DevOps, Azure",6.5,B.Tech in Computer Science,Azure Fundamentals,10.0,20.6,credible,Indeed
Cloud Engineer,"Azure, Terraform, AWS",8.2,MS in Cloud Computing,Azure Fundamentals,9.11,18.61,credible,Indeed
Embedded Software Engineer,"RTOS, IoT, C",3.2,B.Tech in Embedded Systems,ARM Certified Embedded Developer,7.91,13.01,credible,Glassdoor
Cloud Engineer,"AWS, DevOps, Terraform",6.0,B.Tech in Computer Science,AWS Solutions Architect,7.95,14.25,credible,LinkedIn
Data Scientist,"R, Python, Statistics",1.7,BS in Data Science,TensorFlow Developer,9.43,16.97,credible,Company Website
Backend Developer,"Node.js, Spring Boot, Django",7.8,M.Tech in Software Systems,NA,5.2,3.72,credible,Company Website
Data Scientist,"Deep Learning, Statistics, Machine Learning",1.5,MS in Artificial Intelligence,TensorFlow Developer,8.66,14.58,credible,Company Website
Software Engineer,"Algorithms, Python, Data Structures",3.0,M.Tech in Computer Science,NA,6.24,4.92,credible,LinkedIn
DevOps Engineer,"Docker, CI/CD, AWS",3.5,MS in Cloud Computing,Docker Certified Associate,8.07,13.61,credible,LinkedIn
Cybersecurity Analyst,"Penetration Testing, Network Security, Ethical Hacking",1.8,MS in Information Security,CISSP,7.83,12.21,credible,Indeed
AI/ML Engineer,"Reinforcement Learning, PyTorch, NLP",6.6,PhD in AI,Google Professional ML Engineer,5.27,6.45,credible,Company Website
System Administrator,"Bash Scripting, Windows Server, Firewall",0.8,MS in Systems Engineering,Microsoft Certified Solutions Expert,8.51,13.85,credible,Company Website
Product Manager,"User Research, Scrum, JIRA",7.1,MBA in Technology Management,Certified Scrum Product Owner,7.44,13.16,credible,Glassdoor
Cybersecurity Analyst,"SOC, SIEM, Penetration Testing",7.4,BS in Cybersecurity,CEH,6.25,9.71,credible,Glassdoor
Software Engineer,"Data Structures, Python, C++",7.2,M.Tech in Computer Science,NA,7.8,11.28,credible,LinkedIn
Full Stack Developer,"Express, MongoDB, Node.js",2.5,B.Tech in Computer Applications,NA,6.74,6.22,credible,Glassdoor
Business Analyst,"Tableau, SQL, Excel",1.5,MBA in Data Analytics,Certified Business Analysis Professional,7.53,11.19,credible,Glassdoor
Software Engineer,"C++, Java, Python",0.0,M.Tech in Computer Science,NA,8.19,9.57,credible,LinkedIn
Cybersecurity Analyst,"SOC, Penetration Testing, Network Security",7.0,MS in Information Security,CompTIA Security+,6.61,10.63,credible,Indeed
AI/ML Engineer,"Reinforcement Learning, PyTorch, NLP",3.4,BS in AI & ML,Deep Learning Specialization,6.26,8.14,credible,LinkedIn
Embedded Software Engineer,"C, Microcontrollers, IoT",3.5,MS in IoT,ARM Certified Embedded Developer,7.78,12.74,credible,Glassdoor
Full Stack Developer,"Express, MongoDB, Node.js",3.6,B.Tech in Computer Applications,NA,8.92,13.2,credible,Glassdoor
DevOps Engineer,"Docker, CI/CD, Terraform",4.8,B.Tech in Information Technology,Docker Certified Associate,8.38,15.06,credible,Glassdoor
Backend Developer,"Node.js, Django, Spring Boot",0.0,M.Tech in Software Systems,NA,7.21,6.63,credible,Company Website
Database Administrator,"Database Optimization, MongoDB, PostgreSQL",2.0,MS in Data Engineering,Oracle Certified DBA,7.69,11.87,credible,Company Website
Frontend Developer,"Vue.js, React, Angular",3.6,BS in Web Development,NA,6.86,7.02,credible,LinkedIn
DevOps Engineer,"Kubernetes, Docker, Terraform",6.7,B.Tech in Information Technology,Docker Certified Associate,8.08,14.92,credible,Company Website
Backend Developer,"Spring Boot, Django, GraphQL",2.4,B.Tech in Software Engineering,NA,7.38,8.1,credible,LinkedIn
Product Manager,"JIRA, Roadmap Planning, User Research",7.0,MBA in Technology Management,Certified Scrum Product Owner,6.86,11.38,credible,LinkedIn
Data Scientist,"Deep Learning, Python, Machine Learning",0.0,MS in Artificial Intelligence,AWS Machine Learning,8.13,12.39,credible,LinkedIn
Database Administrator,"MongoDB, Database Optimization, MySQL",1.8,BS in Database Management,Oracle Certified DBA,8.27,13.53,credible,Company Website
QA Engineer,"JIRA, Selenium, Bug Tracking",4.5,B.Tech in Computer Science,Certified Selenium Tester,9.56,18.48,credible,Company Website
Frontend Developer,"Vue.js, React, CSS",3.1,BS in Web Development,NA,7.09,7.51,credible,LinkedIn
Data Scientist,"Python, R, Deep Learning",8.7,BS in Data Science,TensorFlow Developer,9.41,19.71,credible,Company Website
Database Administrator,"MySQL, Database Optimization, MongoDB",1.4,BS in Database Management,AWS Database Specialty,9.61,17.39,credible,Indeed
DevOps Engineer,"Kubernetes, CI/CD, Terraform",10.2,MS in Cloud Computing,AWS Certified DevOps Engineer,7.64,15.0,credible,Glassdoor
Data Scientist,"Machine Learning, Statistics, Deep Learning",4.4,BS in Data Science,AWS Machine Learning,6.8,10.16,credible,Company Website
Cloud Engineer,"AWS, Google Cloud, Azure",4.0,B.Tech in Computer Science,Azure Fundamentals,7.86,13.18,credible,Company Website
Product Manager,"Scrum, Roadmap Planning, User Research",4.2,BBA in Product Management,Certified Scrum Product Owner,6.41,8.91,credible,Company Website
Full Stack Developer,"React, MongoDB, Django",4.5,B.Tech in Computer Applications,NA,6.96,7.68,credible,Glassdoor
Full Stack Developer,"MongoDB, Django, Express",2.6,B.Tech in Computer Applications,NA,7.4,8.24,credible,Company Website
System Administrator,"Windows Server, Linux, Firewall",7.2,MS in Systems Engineering,Microsoft Certified Solutions Expert,7.79,14.25,credible,LinkedIn
Cloud Engineer,"Terraform, Google Cloud, AWS",8.3,B.Tech in Computer Science,Azure Fundamentals,5.0,6.32,credible,Glassdoor
Product Manager,"User Research, Agile, JIRA",2.0,MBA in Technology Management,Certified Scrum Product Owner,7.55,11.45,credible,LinkedIn
Data Scientist,"Statistics, Machine Learning, Deep Learning",9.3,PhD in Machine Learning,TensorFlow Developer,7.17,13.23,credible,Company Website
Software Engineer,"C++, Algorithms, Java",0.0,BS in Software Engineering,NA,6.48,4.44,credible,Company Website
Embedded Software Engineer,"RTOS, C, Microcontrollers",4.7,MS in IoT,ARM Certified Embedded Developer,7.52,12.44,credible,LinkedIn
Software Engineer,"Java, Algorithms, Data Structures",6.4,B.Tech in Computer Science,NA,8.4,12.76,credible,Glassdoor
Software Engineer,"Python, Data Structures, C++",2.6,M.Tech in Computer Science,NA,8.03,10.13,credible,Indeed
Cybersecurity Analyst,"Network Security, Penetration Testing, SOC",7.5,BS in Cybersecurity,CEH,6.93,11.79,credible,LinkedIn
Embedded Software Engineer,"RTOS, C, IoT",2.4,MS in IoT,ARM Certified Embedded Developer,7.84,12.48,credible,Glassdoor
DevOps Engineer,"Docker, AWS, Terraform",1.9,B.Tech in Information Technology,AWS Certified DevOps Engineer,6.82,9.22,credible,Glassdoor
Cybersecurity Analyst,"SOC, Network Security, Ethical Hacking",2.2,MS in Information Security,CISSP,8.43,14.17,credible,Glassdoor
AI/ML Engineer,"Reinforcement Learning, NLP, TensorFlow",6.2,BS in AI & ML,Google Professional ML Engineer,7.09,11.75,credible,Company Website
Cloud Engineer,"Azure, Terraform, DevOps",8.4,B.Tech in Computer Science,Azure Fundamentals,7.73,14.55,credible,Glassdoor
QA Engineer,"JUnit, Bug Tracking, JIRA",7.2,MS in Software Testing,ISTQB,9.59,19.65,credible,Indeed
Database Administrator,"SQL, MySQL, MongoDB",10.4,MS in Data Engineering,Oracle Certified DBA,8.71,18.29,credible,LinkedIn
